"";"dateheure";"h13d";"h110d";"hmaxd";"hrmsd";"h2percentd";"th13d";"th110d";"tavd";"thmaxd";"tmaxd";"etamax";"etamin";"sz13d";"szmaxd";"tszmaxd";"skew";"kurt";"rhh";"tp";"t02";"te";"eps2";"kapa";"thetap";"thetam";"sigmap";"sigmam";"nbsys";"hm0_s1";"tp_s1";"t02_s1";"te_s1";"eps2_s1";"kapa_s1";"thetap_s1";"thetam_s1";"sigmap_s1";"sigmam_s1";"hm0_s2";"tp_s2";"t02_s2";"te_s2";"eps2_s2";"kapa_s2";"thetap_s2";"thetam_s2";"sigmap_s2";"sigmam_s2";"hm0_s3";"tp_s3";"t02_s3";"te_s3";"eps2_s3";"kapa_s3";"thetap_s3";"thetam_s3";"sigmap_s3";"sigmam_s3";"hm0_s4";"tp_s4";"t02_s4";"te_s4";"eps2_s4";"kapa_s4";"thetap_s4";"thetam_s4";"sigmap_s4";"sigmam_s4"
"1";2016-10-01 19:00:00;2,01;2,55;3,13;1,43;2,81;7,3;7,7;5,7;6,7;11;1,84;1,99;0,053;0,324;1,1;0,064;2,94;0,21;8,3;5,7;7,3;0,45;0,35;274,2;278,2;22;30,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";2016-10-05 00:00:00;1,89;2,3;3,2;1,33;2,62;11;10,8;9,3;9,1;17,5;1,9;1,51;0,018;0,077;2,1;-0,008;2,877;0,33;11,6;8,9;11;0,47;0,42;274,9;271,7;29,3;29,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
