"";"dateheure";"h13d";"h110d";"hmaxd";"hrmsd";"h2percentd";"th13d";"th110d";"tavd";"thmaxd";"tmaxd";"etamax";"etamin";"sz13d";"szmaxd";"tszmaxd";"skew";"kurt";"rhh";"tp";"t02";"te";"eps2";"kapa";"thetap";"thetam";"sigmap";"sigmam";"nbsys";"hm0_s1";"tp_s1";"t02_s1";"te_s1";"eps2_s1";"kapa_s1";"thetap_s1";"thetam_s1";"sigmap_s1";"sigmam_s1";"hm0_s2";"tp_s2";"t02_s2";"te_s2";"eps2_s2";"kapa_s2";"thetap_s2";"thetam_s2";"sigmap_s2";"sigmam_s2";"hm0_s3";"tp_s3";"t02_s3";"te_s3";"eps2_s3";"kapa_s3";"thetap_s3";"thetam_s3";"sigmap_s3";"sigmam_s3";"hm0_s4";"tp_s4";"t02_s4";"te_s4";"eps2_s4";"kapa_s4";"thetap_s4";"thetam_s4";"sigmap_s4";"sigmam_s4"
"1";2016-10-01 19:00:00;2,25;2,8;4,17;1,6;2,93;7,5;7,7;5,8;7,3;11,2;1,93;2,45;0,063;0,259;0,9;0,005;3,16;0,28;8,3;5,7;7,2;0,45;0,38;282;283,2;25,7;31,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";2016-10-05 00:00:00;1,34;1,75;2,43;0,93;1,98;9,6;12,1;6;13,6;15,5;1,29;1,24;0,046;0,114;2,9;0,122;2,743;0,2;13,1;6,1;10,5;0,71;0,67;281,7;285,2;53,4;56,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
